Arrangement Type,Unit Price,Quantity,Total Price,Cost,Labor
Bridesmaid Hair Pins,$15.00 ,8,$120.00 ,$30.00 ,$18.00 
Bridesmaid Hair Pins,$15.00 ,8,$120.00 ,$30.00 ,$18.00 
Bridesmaid Hair Pins,$15.00 ,8,$120.00 ,$30.00 ,$18.00 
Bridesmaid Hair Pins,$15.00 ,8,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bud Vase,$20.00 ,6,$120.00 ,$30.00 ,$18.00 
Bridesmaid Bouquet,$60.00 ,2,$120.00 ,$30.00 ,$12.00 
Bridesmaid Bouquet,$60.00 ,2,$120.00 ,$30.00 ,$12.00 
Boutonniere,$25.00 ,5,$125.00 ,$31.25 ,$12.50 
Small Arrangement,$25.00 ,5,$125.00 ,$31.25 ,$12.50 
Small Arrangement,$25.00 ,5,$125.00 ,$31.25 ,$12.50 
Small Arrangement,$25.00 ,5,$125.00 ,$31.25 ,$12.50 
Boutonniere,$25.00 ,5,$125.00 ,$31.25 ,$12.50 
Small Arrangement,$25.00 ,5,$125.00 ,$31.25 ,$12.50 
Small Arrangement,$25.00 ,5,$125.00 ,$31.25 ,$12.50 
Small Arrangement,$25.00 ,5,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Medium Arrangement,$125.00 ,1,$125.00 ,$31.25 ,$12.50 
Bud Vase,$20.00 ,7,$140.00 ,$35.00 ,$21.00 
Bud Vase,$20.00 ,7,$140.00 ,$35.00 ,$21.00 
Bud Vase,$20.00 ,7,$140.00 ,$35.00 ,$21.00 
Bud Vase,$20.00 ,7,$140.00 ,$35.00 ,$21.00 
Bud Vase,$20.00 ,7,$140.00 ,$35.00 ,$21.00 
Bud Vase,$20.00 ,7,$140.00 ,$35.00 ,$21.00 
Bud Vase,$20.00 ,7,$140.00 ,$35.00 ,$21.00 
Bud Vase,$20.00 ,7,$140.00 ,$35.00 ,$21.00 
Bridesmaid Bouquet,$70.00 ,2,$140.00 ,$35.00 ,$14.00 
Bridesmaid Bouquet,$70.00 ,2,$140.00 ,$35.00 ,$14.00 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
Small Arrangement,$25.00 ,6,$150.00 ,$37.50 ,$22.50 
